base_currency,quote_currency,rate_date,rate
USD,KRW,2006-03-13,982.6
USD,KRW,2006-03-14,981.6
USD,KRW,2006-03-15,977.5
USD,KRW,2006-03-16,974.7
USD,KRW,2006-03-17,974.4
USD,KRW,2006-03-20,971.9
USD,KRW,2006-03-21,969.1
USD,KRW,2006-03-22,967.3
USD,KRW,2006-03-23,971.5
USD,KRW,2006-03-24,973.7
USD,KRW,2006-03-27,980.8
USD,KRW,2006-03-28,976.3
USD,KRW,2006-03-29,975.8
USD,KRW,2006-03-30,978.1
USD,KRW,2006-03-31,975.9
USD,KRW,2006-04-03,975
USD,KRW,2006-04-04,970.7
USD,KRW,2006-04-05,966.1
USD,KRW,2006-04-06,959.5
USD,KRW,2006-04-07,954.9
USD,KRW,2006-04-10,952.4
USD,KRW,2006-04-11,952.9
USD,KRW,2006-04-12,954.1
USD,KRW,2006-04-13,955.6
USD,KRW,2006-04-14,960.4
USD,KRW,2006-04-17,961.4
USD,KRW,2006-04-18,955.3
USD,KRW,2006-04-19,953
USD,KRW,2006-04-20,947.3
USD,KRW,2006-04-21,947.5
USD,KRW,2006-04-24,947.2
USD,KRW,2006-04-25,940.5
USD,KRW,2006-04-26,941.8
USD,KRW,2006-04-27,947.4
USD,KRW,2006-04-28,945.7
USD,KRW,2006-05-02,944.1
USD,KRW,2006-05-03,941.9
USD,KRW,2006-05-04,935.8
USD,KRW,2006-05-08,939.1
USD,KRW,2006-05-09,930.7
USD,KRW,2006-05-10,933.1
USD,KRW,2006-05-11,931.7
USD,KRW,2006-05-12,934.5
USD,KRW,2006-05-15,933.7
USD,KRW,2006-05-16,940.2
USD,KRW,2006-05-17,946.7
USD,KRW,2006-05-18,937.6
USD,KRW,2006-05-19,944.5
USD,KRW,2006-05-22,944.8
USD,KRW,2006-05-23,950.1
USD,KRW,2006-05-24,947.2
USD,KRW,2006-05-25,949.4
USD,KRW,2006-05-26,949.2
USD,KRW,2006-05-29,946.3
USD,KRW,2006-05-30,947.4
USD,KRW,2006-06-01,947.6
USD,KRW,2006-06-02,947.4
USD,KRW,2006-06-05,946.8
USD,KRW,2006-06-07,943.8
USD,KRW,2006-06-08,947.7
USD,KRW,2006-06-09,951.1
USD,KRW,2006-06-12,954.1
USD,KRW,2006-06-13,956.6
USD,KRW,2006-06-14,960.9
USD,KRW,2006-06-15,962.1
USD,KRW,2006-06-16,959.4
USD,KRW,2006-06-19,955.2
USD,KRW,2006-06-20,961.7
USD,KRW,2006-06-21,960.9
USD,KRW,2006-06-22,954.6
USD,KRW,2006-06-23,954.3
USD,KRW,2006-06-26,958.7
USD,KRW,2006-06-27,958.8
USD,KRW,2006-06-28,958.1
USD,KRW,2006-06-29,958.3
USD,KRW,2006-06-30,960.3
USD,KRW,2006-07-03,952.6
USD,KRW,2006-07-04,944.7
USD,KRW,2006-07-05,942.2
USD,KRW,2006-07-06,945.9
USD,KRW,2006-07-07,949.7
USD,KRW,2006-07-10,946.3
USD,KRW,2006-07-11,942.5
USD,KRW,2006-07-12,945
USD,KRW,2006-07-13,948.8
USD,KRW,2006-07-14,950.1
USD,KRW,2006-07-18,952.9
USD,KRW,2006-07-19,957.4
USD,KRW,2006-07-20,958.4
USD,KRW,2006-07-21,951.3
USD,KRW,2006-07-24,952.7
USD,KRW,2006-07-25,951.2
USD,KRW,2006-07-26,952.4
USD,KRW,2006-07-27,953.9
USD,KRW,2006-07-28,951.9
USD,KRW,2006-07-31,953.1
USD,KRW,2006-08-01,954.5
USD,KRW,2006-08-02,956.4
USD,KRW,2006-08-03,959.4
USD,KRW,2006-08-04,966.3
USD,KRW,2006-08-07,964.4
USD,KRW,2006-08-08,961.5
USD,KRW,2006-08-09,963.9
USD,KRW,2006-08-10,963.7
USD,KRW,2006-08-11,958
USD,KRW,2006-08-14,959.2
USD,KRW,2006-08-16,965.2
USD,KRW,2006-08-17,964.8
USD,KRW,2006-08-18,961.7
USD,KRW,2006-08-21,961.7
USD,KRW,2006-08-22,957.2
USD,KRW,2006-08-23,956.9
USD,KRW,2006-08-24,956.6
USD,KRW,2006-08-25,958.2
USD,KRW,2006-08-28,960.7
USD,KRW,2006-08-29,964.2
USD,KRW,2006-08-30,961.7
USD,KRW,2006-08-31,959.6
USD,KRW,2006-09-01,961.5
USD,KRW,2006-09-04,961.1
USD,KRW,2006-09-05,958.3
USD,KRW,2006-09-06,956.2
USD,KRW,2006-09-07,956.9
USD,KRW,2006-09-08,956.8
USD,KRW,2006-09-11,955.2
USD,KRW,2006-09-12,957
USD,KRW,2006-09-13,959.1
USD,KRW,2006-09-14,959.8
USD,KRW,2006-09-15,956.4
USD,KRW,2006-09-18,956.8
USD,KRW,2006-09-19,958
USD,KRW,2006-09-20,954.3
USD,KRW,2006-09-21,952.1
USD,KRW,2006-09-22,945.7
USD,KRW,2006-09-25,944.2
USD,KRW,2006-09-26,944.8
USD,KRW,2006-09-27,943.4
USD,KRW,2006-09-28,944.4
USD,KRW,2006-09-29,945.2
USD,KRW,2006-10-02,944.8
USD,KRW,2006-10-04,947.4
USD,KRW,2006-10-09,948.2
USD,KRW,2006-10-10,958.8
USD,KRW,2006-10-11,960
USD,KRW,2006-10-12,961.2
USD,KRW,2006-10-13,959.2
USD,KRW,2006-10-16,954.5
USD,KRW,2006-10-17,955.8
USD,KRW,2006-10-18,954.5
USD,KRW,2006-10-19,954.2
USD,KRW,2006-10-20,956.9
USD,KRW,2006-10-23,957.6
USD,KRW,2006-10-24,958.7
USD,KRW,2006-10-25,959.5
USD,KRW,2006-10-26,956
USD,KRW,2006-10-27,951.6
USD,KRW,2006-10-30,947.2
USD,KRW,2006-10-31,944.2
USD,KRW,2006-11-01,944.3
USD,KRW,2006-11-02,939
USD,KRW,2006-11-03,938.9
USD,KRW,2006-11-06,937.9
USD,KRW,2006-11-07,941.2
USD,KRW,2006-11-08,940.7
USD,KRW,2006-11-09,935.8
USD,KRW,2006-11-10,936.7
